N,Threads,Time
500,1,0.529090
500,2,0.236069
500,4,0.124367
500,8,0.098287
500,16,0.098324
500,32,0.082495
500,64,0.115777
500,128,0.177345
1000,1,4.939294
1000,2,2.161706
1000,4,1.292135
1000,8,0.831260
1000,16,0.815725
1000,32,0.699550
1000,64,0.771924
1000,128,1.055451
1500,1,18.726080
1500,2,9.724508
1500,4,5.148461
1500,8,3.088025
1500,16,2.867042
1500,32,2.962064
1500,64,2.894868
1500,128,3.744813
2000,1,48.534551
2000,2,24.256263
2000,4,13.780257
2000,8,8.399771
2000,16,7.049589
2000,32,7.037568
2000,64,6.988141
2000,128,8.794937
2500,1,99.541435
2500,2,50.565978
2500,4,28.260026
2500,8,17.257771
2500,16,16.849253
2500,32,17.194584
2500,64,16.742710
2500,128,19.161979
